Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2021-08-01,00:00,23.37,62.35,23.00,,,,,,0.00,0.00,-52.00,43.00,-47.00,53.00,-41.00,41.00,-42.00,42.00
2021-08-01,00:15,23.41,62.51,21.00,,,,,,0.00,0.00,-46.00,42.00,-53.00,43.00,-45.00,42.00,-42.00,44.00
2021-08-01,00:30,23.44,62.46,25.00,,,,,,0.00,0.00,-46.00,41.00,-48.00,44.00,-45.00,42.00,-42.00,44.00
2021-08-01,00:45,23.40,62.58,21.00,,,,,,0.00,0.00,-44.00,43.00,-55.00,45.00,-43.00,43.00,-42.00,45.00
2021-08-01,01:00,23.41,62.43,23.00,,,,,,0.00,0.00,-50.00,47.00,-47.00,44.00,-48.00,41.00,-40.00,37.00
2021-08-01,01:15,23.37,62.53,24.00,,,,,,0.00,0.00,-44.00,47.00,-47.00,46.00,-49.00,41.00,-42.00,45.00
2021-08-01,01:30,23.41,62.24,29.00,,,,,,0.00,0.00,-44.00,41.00,-50.00,45.00,-44.00,45.00,-47.00,41.00
2021-08-01,01:45,23.37,62.35,22.00,,,,,,0.00,0.00,-45.00,51.00,-51.00,48.00,-41.00,41.00,-43.00,39.00
2021-08-01,02:00,23.35,62.35,21.00,,,,,,0.00,0.00,-43.00,41.00,-50.00,50.00,-41.00,49.00,-41.00,43.00
2021-08-01,02:15,23.37,62.25,21.00,,,,,,0.00,0.00,-48.00,45.00,-43.00,45.00,-45.00,38.00,-44.00,44.00
2021-08-01,02:30,23.36,62.23,23.00,,,,,,0.00,0.00,-46.00,43.00,-55.00,44.00,-47.00,47.00,-45.00,45.00
2021-08-01,02:45,23.33,62.27,20.00,,,,,,0.00,0.00,-47.00,48.00,-43.00,43.00,-48.00,43.00,-44.00,40.00
