Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2022-01-01,00:00,19.41,55.04,21.00,,,,,,2.00,2.00,-47.00,43.00,-45.00,50.00,-45.00,44.00,-43.00,42.00
2022-01-01,00:15,19.39,54.84,21.00,,,,,,2.00,2.00,-46.00,43.00,-43.00,41.00,-41.00,43.00,-42.00,40.00
2022-01-01,00:30,19.38,54.70,301.00,,,,,,0.00,2.00,-84.00,403.00,-121.00,507.00,-104.00,411.00,-90.00,354.00
2022-01-01,00:45,19.34,54.87,23.00,,,,,,0.00,0.00,-42.00,45.00,-53.00,42.00,-41.00,43.00,-44.00,38.00
2022-01-01,01:00,19.34,54.69,22.00,,,,,,0.00,0.00,-42.00,44.00,-46.00,49.00,-43.00,42.00,-41.00,42.00
2022-01-01,01:15,19.30,54.56,21.00,,,,,,0.00,0.00,-43.00,46.00,-45.00,43.00,-40.00,45.00,-42.00,39.00
2022-01-01,01:30,19.28,54.49,23.00,,,,,,0.00,0.00,-44.00,41.00,-47.00,43.00,-41.00,44.00,-45.00,44.00
2022-01-01,01:45,19.24,54.47,23.00,,,,,,0.00,0.00,-47.00,45.00,-44.00,47.00,-43.00,41.00,-42.00,46.00
2022-01-01,02:00,19.23,54.45,24.00,,,,,,0.00,0.00,-48.00,47.00,-44.00,44.00,-45.00,47.00,-42.00,38.00
2022-01-01,02:15,19.22,54.28,22.00,,,,,,0.00,0.00,-45.00,50.00,-48.00,48.00,-43.00,49.00,-45.00,41.00
2022-01-01,02:30,19.19,54.34,21.00,,,,,,0.00,0.00,-47.00,41.00,-51.00,54.00,-44.00,44.00,-42.00,41.00
2022-01-01,02:45,19.17,54.48,25.00,,,,,,0.00,0.00,-49.00,46.00,-51.00,44.00,-48.00,42.00,-48.00,38.00
2022-01-01,03:00,19.18,54.47,21.00,,,,,,0.00,0.00,-45.00,51.00,-45.00,42.00,-47.00,44.00,-44.00,47.00
2022-01-01,03:15,19.18,54.36,23.00,,,,,,0.00,0.00,-43.00,39.00,-54.00,41.00,-48.00,49.00,-43.00,44.00
2022-01-01,03:30,19.15,54.51,22.00,,,,,,0.00,0.00,-43.00,42.00,-42.00,43.00,-49.00,40.00,-46.00,46.00
2022-01-01,03:45,19.12,54.50,21.00,,,,,,0.00,0.00,-47.00,49.00,-51.00,44.00,-47.00,40.00,-43.00,49.00
2022-01-01,04:00,19.13,54.50,24.00,,,,,,0.00,0.00,-49.00,43.00,-44.00,48.00,-47.00,49.00,-42.00,43.00
2022-01-01,04:15,19.16,54.28,23.00,,,,,,0.00,0.00,-48.00,49.00,-56.00,45.00,-46.00,46.00,-42.00,43.00
2022-01-01,04:30,19.17,54.20,22.00,,,,,,0.00,0.00,-43.00,43.00,-47.00,44.00,-42.00,40.00,-39.00,44.00
2022-01-01,04:45,19.14,54.31,21.00,,,,,,0.00,0.00,-45.00,44.00,-50.00,47.00,-45.00,43.00,-46.00,50.00
2022-01-01,05:00,19.09,54.54,21.00,,,,,,0.00,0.00,-45.00,47.00,-56.00,44.00,-46.00,39.00,-43.00,45.00
2022-01-01,05:15,19.09,54.53,22.00,,,,,,0.00,0.00,-51.00,45.00,-48.00,46.00,-52.00,42.00,-50.00,45.00
2022-01-01,05:30,19.04,54.57,22.00,,,,,,0.00,0.00,-50.00,39.00,-46.00,47.00,-41.00,44.00,-42.00,38.00
2022-01-01,05:45,19.02,54.56,21.00,,,,,,0.00,0.00,-43.00,45.00,-48.00,45.00,-45.00,44.00,-42.00,40.00
2022-01-01,06:00,19.04,54.51,23.00,,,,,,0.00,0.00,-46.00,44.00,-55.00,46.00,-42.00,46.00,-43.00,43.00
2022-01-01,06:15,19.04,54.33,24.00,,,,,,0.00,0.00,-46.00,45.00,-45.00,52.00,-49.00,42.00,-41.00,42.00
2022-01-01,06:30,18.98,54.47,23.00,,,,,,0.00,0.00,-48.00,43.00,-53.00,53.00,-47.00,42.00,-44.00,42.00
2022-01-01,06:45,18.95,54.60,25.00,,,,,,0.00,0.00,-47.00,49.00,-43.00,48.00,-45.00,44.00,-42.00,42.00
2022-01-01,07:00,18.96,54.53,23.00,,,,,,0.00,0.00,-47.00,45.00,-46.00,53.00,-43.00,41.00,-49.00,46.00
2022-01-01,07:15,18.97,54.46,22.00,,,,,,0.00,0.00,-45.00,43.00,-43.00,46.00,-53.00,43.00,-47.00,39.00
2022-01-01,07:30,18.93,54.63,23.00,,,,,,0.00,0.00,-42.00,44.00,-45.00,43.00,-38.00,43.00,-42.00,40.00
2022-01-01,07:45,18.94,54.65,23.00,,,,,,0.00,0.00,-52.00,45.00,-48.00,41.00,-44.00,44.00,-47.00,41.00
2022-01-01,08:00,18.95,54.59,21.00,,,,,,0.00,1.00,-45.00,48.00,-56.00,45.00,-42.00,53.00,-42.00,43.00
2022-01-01,08:15,18.91,54.65,24.00,,,,,,0.00,1.00,-44.00,45.00,-45.00,46.00,-52.00,46.00,-50.00,43.00
2022-01-01,08:30,18.90,54.73,23.00,,,,,,1.00,2.00,-45.00,44.00,-45.00,45.00,-44.00,44.00,-41.00,52.00
2022-01-01,08:45,18.89,54.81,681.00,,,,,,2.00,21.00,-44.00,45.00,-48.00,44.00,-58.00,70.00,-97.00,93.00
2022-01-01,09:00,18.87,54.90,20.00,,,,,,17.00,26.00,-46.00,43.00,-45.00,45.00,-43.00,48.00,-42.00,43.00
2022-01-01,09:15,18.85,54.87,27.00,,,,,,14.00,19.00,-42.00,48.00,-42.00,45.00,-52.00,38.00,-42.00,42.00
2022-01-01,09:30,18.84,54.83,26.00,,,,,,15.00,21.00,-47.00,41.00,-48.00,48.00,-45.00,42.00,-46.00,42.00
2022-01-01,09:45,18.86,54.61,388.00,,,,,,14.00,32.00,-73.00,339.00,-106.00,505.00,-97.00,494.00,-77.00,334.00
2022-01-01,10:00,18.93,55.58,541.00,,,,,,15.00,39.00,-208.00,334.00,-199.00,338.00,-286.00,454.00,-323.00,485.00
2022-01-01,10:15,19.09,56.99,532.00,,,,,,11.00,41.00,-219.00,389.00,-278.00,415.00,-221.00,531.00,-156.00,489.00
2022-01-01,10:30,19.28,56.62,561.00,,,,,,17.00,38.00,-192.00,673.00,-195.00,717.00,-228.00,700.00,-235.00,726.00
2022-01-01,10:45,19.25,56.49,173.00,,,,,,23.00,28.00,-54.00,48.00,-47.00,43.00,-48.00,42.00,-42.00,39.00
2022-01-01,11:00,19.30,56.79,600.00,,,,,,7.00,28.00,-355.00,344.00,-449.00,416.00,-415.00,315.00,-274.00,243.00
2022-01-01,11:15,19.22,56.50,448.00,,,,,,22.00,32.00,-169.00,625.00,-157.00,651.00,-210.00,675.00,-187.00,601.00
2022-01-01,11:30,19.22,56.51,611.00,,,,,,19.00,33.00,-60.00,45.00,-47.00,55.00,-49.00,48.00,-79.00,85.00
2022-01-01,11:45,19.17,56.16,32.00,,,,,,18.00,21.00,-45.00,42.00,-45.00,43.00,-43.00,44.00,-46.00,41.00
