Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2021-06-07,19:15,22.12,65.23,,,,,,,,,,,,,,,,
2021-06-07,19:30,22.22,64.84,404.00,,,,,,1.00,3.00,-559.00,814.00,-762.00,1260.00,-688.00,1020.00,-454.00,741.00
2021-06-07,19:45,22.05,64.89,21.00,,,,,,1.00,5.00,-46.00,45.00,-43.00,43.00,-42.00,43.00,-46.00,44.00
2021-06-07,20:00,21.97,64.70,423.00,,,,,,0.00,4.00,-136.00,474.00,-187.00,584.00,-177.00,599.00,-172.00,566.00
2021-06-07,20:15,21.86,64.13,22.00,,,,,,0.00,0.00,-48.00,47.00,-48.00,50.00,-47.00,46.00,-45.00,40.00
2021-06-07,20:30,21.76,63.58,21.00,,,,,,0.00,0.00,-55.00,49.00,-50.00,47.00,-44.00,43.00,-41.00,42.00
2021-06-07,20:45,21.69,63.42,21.00,,,,,,0.00,0.00,-48.00,52.00,-48.00,43.00,-50.00,42.00,-42.00,41.00
2021-06-07,21:00,21.63,63.38,25.00,,,,,,0.00,0.00,-46.00,51.00,-51.00,45.00,-48.00,45.00,-45.00,48.00
2021-06-07,21:15,21.56,63.25,22.00,,,,,,0.00,0.00,-51.00,45.00,-53.00,48.00,-42.00,50.00,-47.00,46.00
2021-06-07,21:30,21.49,63.30,26.00,,,,,,0.00,0.00,-49.00,46.00,-49.00,52.00,-47.00,47.00,-46.00,48.00
2021-06-07,21:45,21.45,63.18,25.00,,,,,,0.00,0.00,-50.00,50.00,-53.00,41.00,-51.00,42.00,-41.00,47.00
2021-06-07,22:00,21.41,63.07,23.00,,,,,,0.00,0.00,-49.00,49.00,-58.00,48.00,-43.00,43.00,-44.00,54.00
2021-06-07,22:15,21.37,63.04,25.00,,,,,,0.00,0.00,-55.00,45.00,-49.00,51.00,-45.00,42.00,-44.00,47.00
2021-06-07,22:30,21.34,62.96,22.00,,,,,,0.00,0.00,-47.00,52.00,-50.00,48.00,-47.00,49.00,-48.00,42.00
2021-06-07,22:45,21.30,62.91,24.00,,,,,,0.00,0.00,-47.00,49.00,-47.00,55.00,-53.00,42.00,-46.00,39.00
2021-06-07,23:00,21.23,62.99,23.00,,,,,,0.00,0.00,-50.00,50.00,-48.00,45.00,-46.00,48.00,-45.00,41.00
2021-06-07,23:15,21.27,62.76,22.00,,,,,,0.00,0.00,-50.00,53.00,-48.00,52.00,-42.00,43.00,-47.00,44.00
2021-06-07,23:30,21.23,62.60,25.00,,,,,,0.00,0.00,-50.00,46.00,-47.00,49.00,-46.00,42.00,-46.00,41.00
2021-06-07,23:45,21.20,62.48,23.00,,,,,,0.00,0.00,-49.00,47.00,-49.00,53.00,-44.00,50.00,-47.00,44.00
2021-06-08,00:00,21.16,62.33,25.00,,,,,,0.00,0.00,-45.00,52.00,-46.00,53.00,-44.00,44.00,-45.00,49.00
2021-06-08,00:15,21.13,62.16,24.00,,,,,,0.00,0.00,-52.00,51.00,-45.00,53.00,-50.00,44.00,-44.00,45.00
2021-06-08,00:30,21.07,62.14,23.00,,,,,,0.00,0.00,-47.00,52.00,-46.00,48.00,-51.00,46.00,-42.00,46.00
2021-06-08,00:45,21.06,61.89,24.00,,,,,,0.00,0.00,-48.00,57.00,-46.00,56.00,-46.00,45.00,-43.00,47.00
2021-06-08,01:00,21.03,61.83,22.00,,,,,,0.00,0.00,-48.00,46.00,-52.00,46.00,-43.00,44.00,-47.00,44.00
2021-06-08,01:15,21.00,61.54,21.00,,,,,,0.00,0.00,-50.00,49.00,-50.00,47.00,-44.00,44.00,-43.00,48.00
2021-06-08,01:30,20.96,61.48,22.00,,,,,,0.00,0.00,-54.00,47.00,-55.00,55.00,-47.00,44.00,-44.00,45.00
2021-06-08,01:45,20.93,61.23,21.00,,,,,,0.00,0.00,-47.00,52.00,-50.00,48.00,-44.00,42.00,-41.00,48.00
2021-06-08,02:00,20.88,61.06,25.00,,,,,,0.00,0.00,-54.00,47.00,-49.00,46.00,-48.00,43.00,-45.00,47.00
2021-06-08,02:15,20.85,60.86,21.00,,,,,,0.00,0.00,-49.00,52.00,-52.00,51.00,-49.00,45.00,-42.00,46.00
2021-06-08,02:30,20.82,60.78,24.00,,,,,,0.00,0.00,-43.00,47.00,-46.00,41.00,-55.00,43.00,-45.00,46.00
2021-06-08,02:45,20.80,60.66,27.00,,,,,,0.00,0.00,-49.00,47.00,-48.00,50.00,-50.00,49.00,-42.00,43.00
2021-06-08,03:00,20.77,60.57,24.00,,,,,,0.00,1.00,-52.00,47.00,-53.00,50.00,-47.00,45.00,-47.00,42.00
2021-06-08,03:15,20.74,60.48,23.00,,,,,,1.00,3.00,-49.00,49.00,-52.00,51.00,-47.00,41.00,-45.00,46.00
2021-06-08,03:30,20.72,60.39,23.00,,,,,,3.00,4.00,-51.00,52.00,-48.00,45.00,-53.00,47.00,-48.00,52.00
2021-06-08,03:45,20.71,60.28,24.00,,,,,,4.00,6.00,-46.00,50.00,-53.00,50.00,-56.00,44.00,-45.00,46.00
2021-06-08,04:00,20.68,60.17,23.00,,,,,,6.00,11.00,-46.00,46.00,-48.00,46.00,-48.00,46.00,-47.00,45.00
2021-06-08,04:15,20.62,60.15,21.00,,,,,,10.00,14.00,-45.00,46.00,-47.00,62.00,-48.00,43.00,-44.00,47.00
2021-06-08,04:30,20.59,60.05,23.00,,,,,,14.00,18.00,-50.00,55.00,-49.00,49.00,-45.00,41.00,-42.00,43.00
2021-06-08,04:45,20.60,59.90,20.00,,,,,,19.00,25.00,-52.00,52.00,-49.00,51.00,-45.00,44.00,-51.00,43.00
2021-06-08,05:00,20.58,59.88,20.00,,,,,,17.00,30.00,-56.00,62.00,-49.00,50.00,-52.00,58.00,-45.00,45.00
2021-06-08,05:15,20.57,60.00,385.00,,,,,,18.00,32.00,-213.00,575.00,-195.00,612.00,-234.00,684.00,-227.00,681.00
2021-06-08,05:30,20.58,60.54,424.00,,,,,,15.00,31.00,-187.00,298.00,-141.00,237.00,-230.00,354.00,-269.00,423.00
2021-06-08,05:45,20.67,60.03,21.00,,,,,,26.00,36.00,-55.00,48.00,-53.00,49.00,-46.00,46.00,-48.00,48.00
2021-06-08,06:00,20.61,59.94,25.00,,,,,,32.00,55.00,-52.00,52.00,-47.00,45.00,-50.00,45.00,-45.00,48.00
2021-06-08,06:15,20.59,59.94,24.00,,,,,,33.00,53.00,-48.00,53.00,-51.00,48.00,-44.00,44.00,-45.00,44.00
2021-06-08,06:30,20.55,60.09,23.00,,,,,,30.00,40.00,-53.00,51.00,-47.00,50.00,-44.00,44.00,-49.00,44.00
2021-06-08,06:45,20.54,60.20,23.00,,,,,,29.00,49.00,-53.00,56.00,-49.00,45.00,-42.00,43.00,-42.00,46.00
2021-06-08,07:00,20.54,60.37,437.00,,,,,,48.00,103.00,-49.00,51.00,-50.00,50.00,-47.00,50.00,-46.00,50.00
2021-06-08,07:15,20.54,60.65,23.00,,,,,,59.00,75.00,-51.00,48.00,-51.00,52.00,-44.00,49.00,-49.00,47.00
2021-06-08,07:30,20.56,60.84,24.00,,,,,,68.00,73.00,-50.00,46.00,-47.00,47.00,-47.00,47.00,-48.00,46.00
2021-06-08,07:45,20.65,61.39,495.00,,,,,,56.00,77.00,-47.00,133.00,-79.00,245.00,-75.00,338.00,-68.00,180.00
2021-06-08,08:00,20.67,61.59,20.00,,,,,,61.00,94.00,-53.00,52.00,-51.00,45.00,-44.00,45.00,-40.00,47.00
2021-06-08,08:15,20.67,61.65,22.00,,,,,,74.00,112.00,-43.00,48.00,-46.00,43.00,-47.00,45.00,-47.00,41.00
2021-06-08,08:30,20.76,61.69,463.00,,,,,,72.00,106.00,-50.00,56.00,-49.00,52.00,-53.00,55.00,-52.00,55.00
2021-06-08,08:45,20.84,61.71,21.00,,,,,,105.00,126.00,-51.00,47.00,-49.00,58.00,-47.00,44.00,-48.00,43.00
2021-06-08,09:00,20.88,61.89,24.00,,,,,,125.00,142.00,-50.00,45.00,-56.00,47.00,-50.00,43.00,-44.00,61.00
2021-06-08,09:15,20.90,62.21,24.00,,,,,,139.00,156.00,-46.00,48.00,-49.00,46.00,-45.00,41.00,-47.00,47.00
2021-06-08,09:30,20.95,62.35,24.00,,,,,,151.00,158.00,-55.00,45.00,-49.00,46.00,-48.00,45.00,-46.00,46.00
2021-06-08,09:45,21.00,62.50,21.00,,,,,,141.00,159.00,-59.00,48.00,-53.00,59.00,-48.00,49.00,-50.00,49.00
2021-06-08,10:00,21.08,63.08,534.00,,,,,,128.00,191.00,-84.00,291.00,-92.00,282.00,-122.00,419.00,-152.00,431.00
2021-06-08,10:15,21.21,65.51,655.00,,,,,,72.00,196.00,-113.00,177.00,-177.00,353.00,-236.00,248.00,-177.00,226.00
2021-06-08,10:30,21.27,66.06,23.00,,,,,,98.00,202.00,-50.00,48.00,-55.00,48.00,-50.00,47.00,-46.00,46.00
2021-06-08,10:45,21.45,65.78,430.00,,,,,,80.00,208.00,-205.00,776.00,-169.00,661.00,-190.00,884.00,-237.00,921.00
2021-06-08,11:00,21.45,66.81,310.00,,,,,,78.00,191.00,-58.00,49.00,-53.00,49.00,-52.00,61.00,-47.00,110.00
2021-06-08,11:15,21.47,66.47,30.00,,,,,,86.00,222.00,-44.00,51.00,-52.00,45.00,-44.00,49.00,-42.00,48.00
2021-06-08,11:30,21.44,66.24,417.00,,,,,,52.00,197.00,-52.00,44.00,-50.00,47.00,-52.00,45.00,-46.00,41.00
2021-06-08,11:45,21.43,66.67,531.00,,,,,,39.00,207.00,-171.00,652.00,-169.00,635.00,-232.00,798.00,-233.00,800.00
2021-06-08,12:00,21.54,66.82,607.00,,,,,,59.00,221.00,-159.00,375.00,-186.00,446.00,-210.00,477.00,-183.00,405.00
2021-06-08,12:15,21.64,66.30,23.00,,,,,,106.00,226.00,-48.00,44.00,-51.00,52.00,-42.00,44.00,-51.00,49.00
2021-06-08,12:30,21.62,66.29,22.00,,,,,,64.00,229.00,-45.00,47.00,-46.00,45.00,-44.00,40.00,-53.00,44.00
2021-06-08,12:45,21.60,66.48,25.00,,,,,,106.00,221.00,-50.00,47.00,-52.00,54.00,-48.00,48.00,-47.00,46.00
2021-06-08,13:00,21.62,66.52,23.00,,,,,,92.00,233.00,-50.00,55.00,-49.00,51.00,-46.00,44.00,-42.00,44.00
2021-06-08,13:15,21.62,67.00,484.00,,,,,,61.00,209.00,-100.00,211.00,-148.00,343.00,-188.00,407.00,-141.00,341.00
2021-06-08,13:30,21.70,66.99,24.00,,,,,,160.00,211.00,-46.00,48.00,-46.00,48.00,-42.00,42.00,-42.00,44.00
2021-06-08,13:45,21.70,66.83,22.00,,,,,,63.00,203.00,-51.00,45.00,-55.00,49.00,-42.00,47.00,-49.00,46.00
2021-06-08,14:00,21.73,66.95,416.00,,,,,,128.00,207.00,-156.00,619.00,-174.00,622.00,-172.00,662.00,-148.00,700.00
2021-06-08,14:15,21.75,67.35,25.00,,,,,,64.00,208.00,-48.00,48.00,-53.00,46.00,-45.00,44.00,-45.00,50.00
2021-06-08,14:30,21.81,67.03,22.00,,,,,,64.00,187.00,-47.00,47.00,-51.00,54.00,-43.00,47.00,-43.00,44.00
2021-06-08,14:45,21.83,66.94,23.00,,,,,,47.00,161.00,-52.00,50.00,-48.00,57.00,-44.00,45.00,-46.00,47.00
2021-06-08,15:00,21.79,67.15,452.00,,,,,,59.00,160.00,-204.00,515.00,-202.00,668.00,-246.00,556.00,-256.00,434.00
2021-06-08,15:15,21.86,68.40,495.00,,,,,,50.00,167.00,-73.00,186.00,-108.00,301.00,-152.00,366.00,-134.00,315.00
2021-06-08,15:30,21.98,67.92,254.00,,,,,,69.00,173.00,-66.00,63.00,-64.00,86.00,-164.00,202.00,-153.00,140.00
2021-06-08,15:45,22.20,65.51,498.00,,,,,,75.00,186.00,-51.00,49.00,-67.00,54.00,-70.00,82.00,-110.00,109.00
2021-06-08,16:00,22.25,64.74,503.00,,,,,,85.00,169.00,-250.00,491.00,-196.00,604.00,-298.00,573.00,-289.00,433.00
2021-06-08,16:15,22.33,65.31,570.00,,,,,,52.00,146.00,-50.00,59.00,-52.00,48.00,-64.00,113.00,-69.00,116.00
2021-06-08,16:30,22.36,65.05,472.00,,,,,,57.00,150.00,-98.00,135.00,-158.00,324.00,-211.00,288.00,-139.00,154.00
2021-06-08,16:45,22.34,65.12,286.00,,,,,,39.00,124.00,-253.00,322.00,-291.00,480.00,-359.00,414.00,-295.00,292.00
2021-06-08,17:00,22.24,65.31,24.00,,,,,,57.00,79.00,-51.00,46.00,-54.00,48.00,-47.00,42.00,-46.00,41.00
2021-06-08,17:15,22.12,65.81,24.00,,,,,,52.00,68.00,-50.00,47.00,-48.00,47.00,-44.00,43.00,-46.00,43.00
2021-06-08,17:30,22.03,65.86,21.00,,,,,,54.00,69.00,-44.00,48.00,-53.00,46.00,-47.00,40.00,-41.00,42.00
2021-06-08,17:45,22.00,65.68,21.00,,,,,,47.00,53.00,-47.00,46.00,-48.00,46.00,-49.00,49.00,-49.00,44.00
2021-06-08,18:00,21.95,65.77,21.00,,,,,,34.00,46.00,-47.00,51.00,-55.00,51.00,-43.00,51.00,-42.00,44.00
2021-06-08,18:15,21.91,65.91,36.00,,,,,,28.00,35.00,-54.00,47.00,-55.00,52.00,-47.00,52.00,-44.00,46.00
2021-06-08,18:30,21.93,67.45,257.00,,,,,,22.00,28.00,-47.00,55.00,-50.00,46.00,-56.00,63.00,-51.00,96.00
2021-06-08,18:45,21.94,67.56,350.00,,,,,,10.00,22.00,-51.00,79.00,-80.00,175.00,-76.00,222.00,-54.00,159.00
2021-06-08,19:00,21.98,68.67,454.00,,,,,,5.00,13.00,-361.00,663.00,-441.00,710.00,-488.00,767.00,-305.00,656.00
2021-06-08,19:15,22.15,68.65,286.00,,,,,,7.00,12.00,-50.00,42.00,-46.00,51.00,-49.00,63.00,-49.00,51.00
2021-06-08,19:30,22.23,67.82,345.00,,,,,,4.00,7.00,-52.00,50.00,-48.00,54.00,-70.00,65.00,-95.00,88.00
2021-06-08,19:45,22.17,68.14,327.00,,,,,,4.00,5.00,-46.00,42.00,-47.00,49.00,-48.00,44.00,-42.00,51.00
2021-06-08,20:00,22.17,68.06,25.00,,,,,,3.00,4.00,-45.00,51.00,-45.00,46.00,-46.00,48.00,-43.00,45.00
2021-06-08,20:15,22.10,68.36,534.00,,,,,,0.00,4.00,-161.00,319.00,-182.00,469.00,-216.00,438.00,-166.00,400.00
2021-06-08,20:30,22.02,68.84,23.00,,,,,,0.00,0.00,-49.00,46.00,-47.00,45.00,-49.00,42.00,-53.00,46.00
2021-06-08,20:45,21.99,68.50,21.00,,,,,,0.00,0.00,-49.00,60.00,-50.00,49.00,-50.00,41.00,-45.00,46.00
2021-06-08,21:00,21.91,68.36,23.00,,,,,,0.00,0.00,-46.00,58.00,-50.00,49.00,-46.00,39.00,-52.00,38.00
2021-06-08,21:15,21.83,68.20,24.00,,,,,,0.00,0.00,-55.00,46.00,-46.00,50.00,-48.00,45.00,-46.00,45.00
2021-06-08,21:30,21.77,68.14,24.00,,,,,,0.00,0.00,-51.00,47.00,-49.00,46.00,-45.00,44.00,-48.00,44.00
2021-06-08,21:45,21.74,68.25,25.00,,,,,,0.00,0.00,-50.00,55.00,-48.00,46.00,-46.00,53.00,-40.00,50.00
2021-06-08,22:00,21.71,68.26,23.00,,,,,,0.00,0.00,-53.00,51.00,-49.00,49.00,-49.00,41.00,-48.00,43.00
2021-06-08,22:15,21.72,68.08,26.00,,,,,,0.00,0.00,-47.00,49.00,-53.00,44.00,-44.00,46.00,-44.00,48.00
2021-06-08,22:30,21.67,68.02,26.00,,,,,,0.00,0.00,-49.00,55.00,-49.00,48.00,-51.00,46.00,-53.00,47.00
