Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2021-10-01,00:00,19.01,58.28,25.00,,,,,,0.00,0.00,-44.00,48.00,-45.00,47.00,-53.00,39.00,-48.00,44.00
2021-10-01,00:15,19.02,58.10,29.00,,,,,,0.00,0.00,-46.00,48.00,-52.00,43.00,-52.00,42.00,-48.00,46.00
2021-10-01,00:30,19.01,57.93,23.00,,,,,,0.00,0.00,-43.00,52.00,-43.00,41.00,-43.00,40.00,-44.00,44.00
2021-10-01,00:45,18.98,57.89,20.00,,,,,,0.00,0.00,-47.00,44.00,-47.00,42.00,-41.00,47.00,-45.00,47.00
2021-10-01,01:00,18.96,57.75,25.00,,,,,,0.00,0.00,-43.00,43.00,-45.00,45.00,-44.00,40.00,-45.00,46.00
2021-10-01,01:15,18.89,57.70,22.00,,,,,,0.00,0.00,-51.00,45.00,-44.00,47.00,-41.00,42.00,-39.00,44.00
2021-10-01,01:30,18.86,57.61,22.00,,,,,,0.00,0.00,-44.00,41.00,-46.00,43.00,-41.00,38.00,-42.00,41.00
2021-10-01,01:45,18.82,57.49,24.00,,,,,,0.00,0.00,-46.00,46.00,-55.00,50.00,-42.00,41.00,-51.00,43.00
2021-10-01,02:00,18.81,57.44,24.00,,,,,,0.00,0.00,-45.00,49.00,-52.00,48.00,-43.00,39.00,-48.00,41.00
2021-10-01,02:15,18.77,57.36,20.00,,,,,,0.00,0.00,-43.00,42.00,-43.00,45.00,-42.00,43.00,-51.00,51.00
2021-10-01,02:30,18.72,57.37,21.00,,,,,,0.00,0.00,-47.00,48.00,-52.00,45.00,-39.00,43.00,-41.00,43.00
2021-10-01,02:45,18.70,57.29,28.00,,,,,,0.00,0.00,-46.00,46.00,-48.00,45.00,-45.00,46.00,-41.00,39.00
2021-10-01,03:00,18.67,57.13,24.00,,,,,,0.00,0.00,-47.00,45.00,-47.00,48.00,-48.00,48.00,-43.00,41.00
2021-10-01,03:15,18.64,57.10,23.00,,,,,,0.00,0.00,-43.00,48.00,-50.00,47.00,-43.00,42.00,-43.00,39.00
2021-10-01,03:30,18.61,57.10,23.00,,,,,,0.00,0.00,-46.00,41.00,-43.00,45.00,-40.00,42.00,-40.00,44.00
2021-10-01,03:45,18.60,57.08,21.00,,,,,,0.00,0.00,-50.00,42.00,-52.00,52.00,-42.00,47.00,-42.00,51.00
2021-10-01,04:00,18.59,56.99,23.00,,,,,,0.00,0.00,-45.00,58.00,-44.00,49.00,-41.00,50.00,-43.00,49.00
2021-10-01,04:15,18.57,57.02,24.00,,,,,,0.00,0.00,-44.00,46.00,-43.00,43.00,-54.00,45.00,-45.00,40.00
2021-10-01,04:30,18.54,57.05,24.00,,,,,,0.00,0.00,-40.00,46.00,-46.00,46.00,-47.00,43.00,-47.00,42.00
2021-10-01,04:45,18.58,56.89,21.00,,,,,,0.00,0.00,-43.00,47.00,-46.00,46.00,-47.00,43.00,-46.00,42.00
2021-10-01,05:00,18.57,56.80,23.00,,,,,,0.00,0.00,-47.00,46.00,-45.00,50.00,-41.00,40.00,-39.00,43.00
2021-10-01,05:15,18.56,56.76,279.00,,,,,,0.00,1.00,-119.00,424.00,-137.00,450.00,-133.00,434.00,-109.00,396.00
2021-10-01,05:30,18.55,57.20,396.00,,,,,,1.00,3.00,-194.00,409.00,-227.00,430.00,-244.00,466.00,-196.00,477.00
2021-10-01,05:45,18.61,57.61,465.00,,,,,,2.00,4.00,-179.00,432.00,-201.00,435.00,-231.00,476.00,-167.00,487.00
2021-10-01,06:00,18.62,56.76,23.00,,,,,,4.00,9.00,-47.00,44.00,-45.00,49.00,-42.00,46.00,-47.00,44.00
2021-10-01,06:15,18.53,56.43,24.00,,,,,,9.00,17.00,-45.00,39.00,-44.00,42.00,-40.00,46.00,-45.00,40.00
2021-10-01,06:30,18.50,56.38,25.00,,,,,,17.00,19.00,-46.00,43.00,-50.00,41.00,-45.00,40.00,-40.00,44.00
2021-10-01,06:45,18.46,56.35,26.00,,,,,,19.00,24.00,-55.00,56.00,-48.00,45.00,-42.00,40.00,-43.00,45.00
2021-10-01,07:00,18.42,56.27,27.00,,,,,,24.00,30.00,-44.00,43.00,-45.00,44.00,-45.00,51.00,-48.00,38.00
2021-10-01,07:15,18.38,56.19,23.00,,,,,,30.00,34.00,-45.00,43.00,-43.00,48.00,-51.00,44.00,-40.00,40.00
2021-10-01,07:30,18.38,56.10,26.00,,,,,,32.00,40.00,-48.00,51.00,-47.00,46.00,-45.00,41.00,-45.00,43.00
2021-10-01,07:45,18.35,56.15,25.00,,,,,,35.00,39.00,-48.00,47.00,-47.00,41.00,-45.00,49.00,-44.00,41.00
2021-10-01,08:00,18.34,56.15,24.00,,,,,,39.00,43.00,-45.00,49.00,-46.00,46.00,-46.00,44.00,-46.00,42.00
