Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2022-04-01,00:00,18.92,36.06,23.00,,,,,,0.00,0.00,-47.00,49.00,-45.00,44.00,-50.00,40.00,-41.00,42.00
2022-04-01,00:15,18.87,36.08,24.00,,,,,,0.00,0.00,-44.00,45.00,-44.00,45.00,-45.00,38.00,-39.00,48.00
2022-04-01,00:30,18.79,36.08,25.00,,,,,,0.00,0.00,-49.00,43.00,-48.00,42.00,-50.00,42.00,-44.00,39.00
2022-04-01,00:45,18.75,35.99,21.00,,,,,,0.00,0.00,-45.00,57.00,-47.00,43.00,-44.00,43.00,-47.00,47.00
2022-04-01,01:00,18.70,36.00,25.00,,,,,,0.00,0.00,-43.00,45.00,-47.00,45.00,-47.00,41.00,-45.00,45.00
2022-04-01,01:15,18.67,35.99,22.00,,,,,,0.00,0.00,-48.00,46.00,-51.00,45.00,-42.00,44.00,-49.00,51.00
2022-04-01,01:30,18.61,36.03,20.00,,,,,,0.00,0.00,-52.00,44.00,-50.00,47.00,-47.00,45.00,-43.00,42.00
2022-04-01,01:45,18.56,36.03,22.00,,,,,,0.00,0.00,-54.00,55.00,-48.00,40.00,-53.00,46.00,-42.00,39.00
2022-04-01,02:00,18.51,35.93,24.00,,,,,,0.00,0.00,-45.00,48.00,-46.00,49.00,-53.00,42.00,-46.00,46.00
2022-04-01,02:15,18.47,35.87,24.00,,,,,,0.00,0.00,-42.00,47.00,-47.00,40.00,-44.00,46.00,-41.00,41.00
2022-04-01,02:30,18.40,35.89,23.00,,,,,,0.00,0.00,-50.00,50.00,-44.00,45.00,-49.00,44.00,-47.00,50.00
2022-04-01,02:45,18.35,35.88,24.00,,,,,,0.00,0.00,-50.00,41.00,-47.00,54.00,-45.00,40.00,-43.00,43.00
2022-04-01,03:00,18.30,35.83,27.00,,,,,,0.00,0.00,-42.00,44.00,-47.00,48.00,-43.00,42.00,-44.00,42.00
2022-04-01,03:15,18.25,35.72,24.00,,,,,,0.00,0.00,-46.00,45.00,-44.00,42.00,-42.00,41.00,-39.00,37.00
2022-04-01,03:30,18.20,35.74,21.00,,,,,,0.00,0.00,-45.00,52.00,-50.00,47.00,-46.00,44.00,-42.00,41.00
2022-04-01,03:45,18.17,35.70,23.00,,,,,,0.00,0.00,-45.00,44.00,-65.00,49.00,-44.00,44.00,-41.00,40.00
2022-04-01,04:00,18.14,35.67,23.00,,,,,,0.00,0.00,-44.00,46.00,-42.00,44.00,-45.00,42.00,-42.00,42.00
2022-04-01,04:15,18.11,35.63,23.00,,,,,,0.00,0.00,-47.00,43.00,-45.00,42.00,-45.00,51.00,-43.00,47.00
2022-04-01,04:30,18.09,35.64,27.00,,,,,,0.00,0.00,-53.00,47.00,-53.00,44.00,-47.00,44.00,-44.00,44.00
2022-04-01,04:45,18.19,35.32,20.00,,,,,,0.00,0.00,-45.00,45.00,-48.00,43.00,-46.00,49.00,-41.00,43.00
2022-04-01,05:00,18.32,34.95,22.00,,,,,,0.00,0.00,-47.00,51.00,-48.00,49.00,-44.00,38.00,-51.00,42.00
2022-04-01,05:15,18.32,34.90,734.00,,,,,,0.00,4.00,-48.00,46.00,-44.00,45.00,-59.00,67.00,-93.00,90.00
2022-04-01,05:30,18.28,35.35,511.00,,,,,,4.00,6.00,-222.00,954.00,-184.00,974.00,-261.00,1102.00,-250.00,1030.00
2022-04-01,05:45,18.23,35.80,430.00,,,,,,3.00,12.00,-115.00,433.00,-171.00,586.00,-152.00,501.00,-149.00,361.00
2022-04-01,06:00,18.19,35.41,24.00,,,,,,11.00,18.00,-43.00,44.00,-42.00,47.00,-42.00,45.00,-39.00,39.00
2022-04-01,06:15,18.13,35.27,21.00,,,,,,17.00,23.00,-48.00,49.00,-48.00,42.00,-49.00,40.00,-48.00,41.00
2022-04-01,06:30,18.02,35.31,26.00,,,,,,23.00,32.00,-44.00,39.00,-44.00,37.00,-38.00,38.00,-40.00,39.00
2022-04-01,06:45,17.98,35.30,26.00,,,,,,26.00,37.00,-40.00,50.00,-49.00,45.00,-41.00,42.00,-46.00,43.00
2022-04-01,07:00,18.00,35.24,414.00,,,,,,31.00,48.00,-74.00,92.00,-82.00,139.00,-115.00,185.00,-99.00,154.00
2022-04-01,07:15,18.13,34.81,23.00,,,,,,49.00,62.00,-47.00,53.00,-50.00,44.00,-52.00,43.00,-50.00,40.00
2022-04-01,07:30,18.17,34.60,28.00,,,,,,60.00,71.00,-47.00,45.00,-42.00,44.00,-48.00,48.00,-42.00,48.00
