Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2021-09-01,00:00,21.88,62.54,23.00,,,,,,0.00,0.00,-53.00,53.00,-52.00,55.00,-43.00,44.00,-47.00,43.00
2021-09-01,00:15,21.85,62.46,25.00,,,,,,0.00,0.00,-49.00,54.00,-49.00,55.00,-41.00,47.00,-44.00,49.00
2021-09-01,00:30,21.85,62.28,23.00,,,,,,0.00,0.00,-47.00,49.00,-51.00,42.00,-45.00,54.00,-49.00,45.00
2021-09-01,00:45,21.82,62.29,23.00,,,,,,0.00,0.00,-50.00,47.00,-50.00,48.00,-40.00,45.00,-44.00,47.00
2021-09-01,01:00,21.81,62.04,24.00,,,,,,0.00,0.00,-53.00,52.00,-49.00,47.00,-50.00,53.00,-45.00,42.00
2021-09-01,01:15,21.77,62.06,27.00,,,,,,0.00,0.00,-47.00,47.00,-46.00,48.00,-47.00,44.00,-45.00,42.00
2021-09-01,01:30,21.76,62.00,25.00,,,,,,0.00,0.00,-42.00,46.00,-44.00,45.00,-47.00,51.00,-47.00,43.00
2021-09-01,01:45,21.76,61.87,22.00,,,,,,0.00,0.00,-52.00,48.00,-48.00,55.00,-47.00,48.00,-45.00,45.00
2021-09-01,02:00,21.74,61.77,23.00,,,,,,0.00,0.00,-47.00,44.00,-48.00,47.00,-49.00,45.00,-51.00,46.00
2021-09-01,02:15,21.69,61.88,22.00,,,,,,0.00,0.00,-68.00,49.00,-50.00,45.00,-43.00,43.00,-43.00,43.00
2021-09-01,02:30,21.70,61.76,20.00,,,,,,0.00,0.00,-51.00,44.00,-47.00,49.00,-50.00,43.00,-49.00,41.00
2021-09-01,02:45,21.71,61.56,22.00,,,,,,0.00,0.00,-48.00,46.00,-51.00,46.00,-50.00,42.00,-50.00,43.00
2021-09-01,03:00,21.67,61.65,23.00,,,,,,0.00,0.00,-46.00,46.00,-46.00,50.00,-49.00,49.00,-42.00,45.00
2021-09-01,03:15,21.64,61.71,22.00,,,,,,0.00,0.00,-46.00,46.00,-51.00,49.00,-46.00,42.00,-45.00,52.00
2021-09-01,03:30,21.64,61.63,23.00,,,,,,0.00,0.00,-49.00,51.00,-54.00,43.00,-51.00,44.00,-50.00,51.00
2021-09-01,03:45,21.63,61.61,24.00,,,,,,0.00,0.00,-45.00,49.00,-52.00,46.00,-47.00,55.00,-45.00,47.00
2021-09-01,04:00,21.61,61.61,21.00,,,,,,0.00,0.00,-55.00,54.00,-49.00,46.00,-51.00,46.00,-45.00,40.00
2021-09-01,04:15,21.63,61.45,23.00,,,,,,0.00,0.00,-46.00,43.00,-52.00,56.00,-54.00,48.00,-49.00,44.00
2021-09-01,04:30,21.59,61.58,23.00,,,,,,0.00,0.00,-44.00,44.00,-48.00,50.00,-46.00,42.00,-48.00,40.00
2021-09-01,04:45,21.58,61.56,24.00,,,,,,0.00,1.00,-52.00,50.00,-48.00,48.00,-47.00,50.00,-46.00,42.00
2021-09-01,05:00,21.60,61.36,24.00,,,,,,1.00,2.00,-50.00,43.00,-52.00,49.00,-47.00,66.00,-46.00,46.00
2021-09-01,05:15,21.59,61.32,465.00,,,,,,2.00,4.00,-95.00,116.00,-76.00,122.00,-113.00,148.00,-125.00,135.00
2021-09-01,05:30,21.60,61.46,131.00,,,,,,4.00,6.00,-44.00,45.00,-45.00,51.00,-42.00,52.00,-39.00,51.00
2021-09-01,05:45,21.62,61.52,24.00,,,,,,6.00,7.00,-50.00,49.00,-47.00,54.00,-42.00,42.00,-47.00,42.00
2021-09-01,06:00,21.64,61.78,39.00,,,,,,7.00,24.00,-46.00,42.00,-47.00,51.00,-44.00,43.00,-42.00,46.00
2021-09-01,06:15,21.70,60.94,25.00,,,,,,23.00,26.00,-47.00,49.00,-45.00,45.00,-45.00,44.00,-44.00,44.00
2021-09-01,06:30,21.69,60.85,23.00,,,,,,26.00,28.00,-97.00,188.00,-123.00,297.00,-164.00,290.00,-151.00,202.00
2021-09-01,06:45,21.70,61.54,513.00,,,,,,20.00,31.00,-102.00,171.00,-161.00,319.00,-155.00,303.00,-132.00,195.00
2021-09-01,07:00,21.72,61.59,30.00,,,,,,30.00,34.00,-49.00,43.00,-46.00,42.00,-41.00,50.00,-45.00,48.00
2021-09-01,07:15,21.79,60.98,155.00,,,,,,34.00,37.00,-48.00,46.00,-51.00,53.00,-42.00,45.00,-44.00,49.00
2021-09-01,07:30,21.77,60.84,32.00,,,,,,36.00,40.00,-45.00,45.00,-45.00,47.00,-40.00,40.00,-44.00,47.00
2021-09-01,07:45,21.73,60.83,255.00,,,,,,29.00,45.00,-146.00,431.00,-171.00,563.00,-167.00,497.00,-172.00,506.00
2021-09-01,08:00,21.72,60.86,207.00,,,,,,32.00,46.00,-135.00,477.00,-140.00,532.00,-151.00,538.00,-136.00,451.00
2021-09-01,08:15,21.71,60.73,26.00,,,,,,43.00,47.00,-53.00,48.00,-49.00,51.00,-43.00,43.00,-44.00,38.00
2021-09-01,08:30,21.72,60.69,25.00,,,,,,45.00,50.00,-51.00,47.00,-51.00,47.00,-42.00,47.00,-54.00,44.00
2021-09-01,08:45,21.72,60.63,32.00,,,,,,51.00,54.00,-47.00,44.00,-49.00,45.00,-48.00,47.00,-53.00,49.00
2021-09-01,09:00,21.72,60.53,27.00,,,,,,49.00,53.00,-45.00,53.00,-53.00,46.00,-51.00,50.00,-45.00,42.00
2021-09-01,09:15,21.74,60.43,25.00,,,,,,51.00,61.00,-48.00,46.00,-47.00,49.00,-46.00,44.00,-54.00,45.00
