Date,Time,avg(temp),avg(humidity),max(pir),max(nearPir),min(ch1),max(ch1),min(ch2),max(ch2),min(als),max(als),min(tp0),max(tp0),min(tp1),max(tp1),min(tp2),max(tp2),min(tp3),max(tp3)
2021-07-01,00:00,22.02,63.54,20.00,,,,,,0.00,0.00,-44.00,45.00,-57.00,50.00,-43.00,41.00,-46.00,48.00
2021-07-01,00:15,21.97,63.70,21.00,,,,,,0.00,0.00,-54.00,47.00,-55.00,47.00,-49.00,39.00,-44.00,42.00
2021-07-01,00:30,21.95,63.70,24.00,,,,,,0.00,0.00,-48.00,49.00,-46.00,53.00,-55.00,42.00,-42.00,45.00
2021-07-01,00:45,21.94,63.79,20.00,,,,,,0.00,0.00,-50.00,49.00,-47.00,49.00,-41.00,46.00,-42.00,51.00
2021-07-01,01:00,21.93,63.71,22.00,,,,,,0.00,0.00,-50.00,44.00,-48.00,50.00,-47.00,43.00,-43.00,46.00
2021-07-01,01:15,21.90,63.84,23.00,,,,,,0.00,0.00,-48.00,42.00,-50.00,46.00,-45.00,50.00,-47.00,41.00
2021-07-01,01:30,21.88,63.90,21.00,,,,,,0.00,0.00,-51.00,46.00,-52.00,58.00,-50.00,43.00,-44.00,49.00
2021-07-01,01:45,21.87,63.86,25.00,,,,,,0.00,0.00,-46.00,45.00,-49.00,50.00,-43.00,49.00,-49.00,50.00
2021-07-01,02:00,21.86,63.83,22.00,,,,,,0.00,0.00,-59.00,55.00,-48.00,51.00,-45.00,45.00,-45.00,47.00
2021-07-01,02:15,21.86,63.85,24.00,,,,,,0.00,0.00,-52.00,43.00,-54.00,49.00,-43.00,41.00,-48.00,44.00
2021-07-01,02:30,21.83,63.95,23.00,,,,,,0.00,0.00,-45.00,53.00,-51.00,49.00,-44.00,52.00,-42.00,48.00
2021-07-01,02:45,21.79,63.98,23.00,,,,,,0.00,0.00,-51.00,46.00,-45.00,45.00,-52.00,42.00,-46.00,46.00
2021-07-01,03:00,21.76,63.97,23.00,,,,,,0.00,0.00,-51.00,57.00,-47.00,44.00,-46.00,48.00,-49.00,41.00
2021-07-01,03:15,21.77,64.12,24.00,,,,,,0.00,0.00,-45.00,42.00,-45.00,50.00,-48.00,50.00,-45.00,50.00
2021-07-01,03:30,21.73,64.30,21.00,,,,,,0.00,1.00,-45.00,53.00,-50.00,47.00,-45.00,44.00,-44.00,46.00
2021-07-01,03:45,21.73,64.36,21.00,,,,,,1.00,2.00,-51.00,49.00,-50.00,46.00,-48.00,47.00,-42.00,41.00
2021-07-01,04:00,21.73,64.25,24.00,,,,,,1.00,4.00,-48.00,46.00,-51.00,45.00,-44.00,51.00,-43.00,48.00
2021-07-01,04:15,21.70,64.40,21.00,,,,,,3.00,4.00,-51.00,44.00,-51.00,49.00,-45.00,44.00,-44.00,48.00
2021-07-01,04:30,21.69,64.46,25.00,,,,,,4.00,6.00,-53.00,45.00,-47.00,56.00,-52.00,45.00,-44.00,43.00
2021-07-01,04:45,21.67,64.56,24.00,,,,,,4.00,7.00,-57.00,50.00,-52.00,44.00,-50.00,43.00,-49.00,49.00
2021-07-01,05:00,21.66,64.53,22.00,,,,,,5.00,13.00,-47.00,47.00,-53.00,46.00,-52.00,45.00,-44.00,42.00
2021-07-01,05:15,21.65,64.63,24.00,,,,,,11.00,13.00,-47.00,49.00,-52.00,44.00,-45.00,45.00,-42.00,42.00
2021-07-01,05:30,21.66,64.72,314.00,,,,,,7.00,11.00,-48.00,52.00,-46.00,48.00,-44.00,55.00,-44.00,47.00
2021-07-01,05:45,21.70,65.09,298.00,,,,,,9.00,13.00,-49.00,45.00,-43.00,53.00,-44.00,48.00,-75.00,104.00
2021-07-01,06:00,21.69,65.12,25.00,,,,,,11.00,16.00,-49.00,46.00,-54.00,45.00,-51.00,39.00,-46.00,44.00
2021-07-01,06:15,21.67,65.01,22.00,,,,,,12.00,13.00,-43.00,42.00,-45.00,42.00,-43.00,44.00,-42.00,39.00
2021-07-01,06:30,21.64,65.01,24.00,,,,,,13.00,16.00,-51.00,45.00,-48.00,48.00,-47.00,43.00,-43.00,42.00
2021-07-01,06:45,21.62,65.13,22.00,,,,,,13.00,19.00,-50.00,51.00,-52.00,47.00,-46.00,40.00,-47.00,43.00
2021-07-01,07:00,21.59,65.40,375.00,,,,,,18.00,26.00,-46.00,49.00,-48.00,45.00,-49.00,47.00,-45.00,47.00
2021-07-01,07:15,21.59,65.58,24.00,,,,,,20.00,26.00,-46.00,50.00,-50.00,45.00,-46.00,44.00,-44.00,45.00
2021-07-01,07:30,21.58,65.60,22.00,,,,,,20.00,28.00,-46.00,46.00,-45.00,46.00,-47.00,46.00,-42.00,41.00
2021-07-01,07:45,21.58,65.64,25.00,,,,,,20.00,26.00,-54.00,49.00,-47.00,64.00,-42.00,48.00,-49.00,59.00
2021-07-01,08:00,21.57,65.75,22.00,,,,,,17.00,26.00,-48.00,48.00,-48.00,44.00,-48.00,46.00,-40.00,43.00
2021-07-01,08:15,21.57,65.78,26.00,,,,,,14.00,20.00,-46.00,53.00,-44.00,52.00,-44.00,48.00,-50.00,43.00
2021-07-01,08:30,21.56,65.82,23.00,,,,,,15.00,23.00,-49.00,53.00,-49.00,53.00,-43.00,57.00,-40.00,42.00
2021-07-01,08:45,21.56,65.86,23.00,,,,,,16.00,24.00,-48.00,45.00,-47.00,49.00,-45.00,44.00,-45.00,48.00
2021-07-01,09:00,21.55,65.96,25.00,,,,,,21.00,27.00,-46.00,47.00,-48.00,52.00,-45.00,43.00,-46.00,42.00
2021-07-01,09:15,21.55,66.07,24.00,,,,,,23.00,29.00,-48.00,49.00,-50.00,45.00,-50.00,46.00,-45.00,45.00
2021-07-01,09:30,21.55,66.17,23.00,,,,,,18.00,29.00,-48.00,49.00,-54.00,44.00,-44.00,55.00,-46.00,46.00
2021-07-01,09:45,21.54,66.11,26.00,,,,,,18.00,27.00,-50.00,47.00,-48.00,46.00,-45.00,49.00,-48.00,45.00
2021-07-01,10:00,21.54,66.22,21.00,,,,,,27.00,49.00,-47.00,45.00,-46.00,50.00,-51.00,47.00,-48.00,48.00
2021-07-01,10:15,21.55,66.22,23.00,,,,,,40.00,49.00,-48.00,43.00,-48.00,49.00,-44.00,47.00,-45.00,41.00
2021-07-01,10:30,21.55,66.46,516.00,,,,,,32.00,48.00,-81.00,185.00,-107.00,332.00,-170.00,295.00,-150.00,235.00
2021-07-01,10:45,21.56,66.87,469.00,,,,,,31.00,40.00,-52.00,205.00,-88.00,398.00,-108.00,430.00,-88.00,261.00
2021-07-01,11:00,21.71,66.55,115.00,,,,,,26.00,41.00,-46.00,48.00,-49.00,48.00,-46.00,42.00,-44.00,41.00
2021-07-01,11:15,21.74,66.26,25.00,,,,,,23.00,31.00,-49.00,54.00,-45.00,46.00,-44.00,48.00,-40.00,40.00
2021-07-01,11:30,21.74,66.27,23.00,,,,,,26.00,39.00,-47.00,58.00,-52.00,50.00,-49.00,50.00,-41.00,44.00
2021-07-01,11:45,21.74,66.51,340.00,,,,,,32.00,47.00,-47.00,54.00,-48.00,51.00,-64.00,44.00,-64.00,48.00
